Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceId
12,B,52.216952755660856,6.899009178320838,93.52933731285775,16,null,315.0640869140625,0,1377341645999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
13,dienst uitvoerend onderwijs,52.216951779465674,6.8989973710738655,91.69569661167328,16,null,315.0640869140625,0,1377341674999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
22,C,52.21693820376664,6.898986389594656,88.28717839964173,8,null,315.0640869140625,0,1377341718999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
14,D,52.21693820376664,6.898986389594656,87.49928139439163,12,null,315.0640869140625,0,1377341737999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
9,C,52.21693820376664,6.898986389594656,87.33042209341103,8,null,315.0640869140625,0,1377341747999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419
18,D,52.2209186,6.8954308,null,24.083999633789062,null,null,null,1377336083819,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
20,C,52.2209186,6.8954308,null,24.083999633789062,null,null,null,1377336083819,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
16,B,52.2209186,6.8954308,null,24.083999633789062,null,null,null,1377336083819,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
19,B,52.2229745,6.8958774,null,31.582000732421875,null,null,null,1377336262347,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
15,D,52.2221577,6.8967654,null,49.643001556396484,null,null,null,1377336322785,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
14,B,52.2209608,6.8954476,null,27.868999481201172,null,null,null,1377336527054,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
11,D,52.2212569,6.8952942,null,30,null,null,null,1377337185630,AAG05,android,7f1b3ec8-4f57-4d86-9c41-0bdb0b99f272
